Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Merciless,4190156464,"""6917529117552576962""",,Exotic,Fusion Rifle,,Energy,Solar,1600,,"Range, Stability",10,Vault,true,false,1,1,,94,69,75,79,15,0,0,92,0,23,8,31,1000,0,0,0,0,0,0,0,0,25,false,0,425,,,,Conserve Momentum*,Chambered Compensator*,Extended Mag*,Impetus*,Fitted Stock*,Kill Tracker,Merciless Catalyst*,Break the Dawn*,,,,,,,
Jötunn,417164956,"""6917529119559444518""",,Exotic,Fusion Rifle,blackarmory,Energy,Solar,1797,,,10,Vault,false,false,2,5,,77,67,100,47,15,0,0,23,0,23,5,36,820,0,0,0,0,0,0,0,0,8,false,0,206,,,,Charge Shot*,Volatile Launch*,Liquid Coils*,Shield Disorient*,Polymer Grip*,Kill Tracker,Jötunn Catalyst*,,,,,,,,
Lumina,3512014804,"""6917529120310844889""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1800,,,10,Warlock(1823),true,true,2,7,,100,88,84,63,14,0,0,60,140,61,13,76,0,0,0,0,0,0,0,0,0,27,false,0,2066,,Beta,,Noble Rounds*,Chambered Compensator*,Accurized Rounds*,Blessing of the Sky*,Polymer Grip*,Kill Tracker,Lumina Catalyst*,,,,,,,,
Crimson,3437746471,"""6917529120716838708""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,Range,10,Hunter(1772),false,false,1,2,,55,75,92,92,14,0,0,97,415,60,8,35,0,0,0,0,0,0,0,0,0,15,false,0,607,,,,Banned Weapon*,Smallbore*,Accurized Rounds*,Cruel Remedy*,Heavy Grip*,Kill Tracker,Crimson Catalyst*,Silver Bullet*,,,,,,,
Arbalest,2130065553,"""6917529122702492184""",,Exotic,Linear Fusion Rifle,,KineticSlot,Kinetic,1810,,"Handling, Magazine",10,Vault,true,false,2,6,,87,31,41,56,25,0,0,55,0,28,6,40,533,0,0,0,0,0,0,0,0,12,false,0,410,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Arbalest Catalyst*,,,,,,,,
Vigilance Wing,3628991659,"""6917529125362611924""",,Exotic,Pulse Rifle,,KineticSlot,Kinetic,1810,,,10,Vault,false,false,1,1,,79,60,33,65,17,0,0,70,530,40,30,43,0,0,0,0,0,0,0,0,0,21,false,0,18,,,,Harsh Truths*,Corkscrew Rifling*,Alloy Magazine*,Last Stand*,Composite Stock*,Crucible Tracker,Vigilance Wing Catalyst*,Vigil for Saint-14*,,,,,,,
Sunshot,2907129557,"""6917529125385130543""",,Exotic,Hand Cannon,,Energy,Solar,1800,,"Stability, Range",10,Vault,false,false,1,1,,100,60,80,71,14,0,0,65,150,72,12,91,0,0,0,0,0,0,0,0,0,27,false,0,4108,,,,Sunburn*,Chambered Compensator*,Accurized Rounds*,Sun Blast*,Textured Grip*,Kill Tracker,Sunshot Catalyst*,Burning Red*,,,,,,,
Eriana's Vow,3524313097,"""6917529125581132408""",,Exotic,Hand Cannon,,Energy,Solar,1600,,Magazine,10,Vault,false,false,3,8,,100,80,100,100,24,0,0,30,90,24,9,23,0,0,0,0,0,0,0,0,0,9,false,0,36,,,,Looks Can Kill*,Extended Barrel*,Accurized Rounds*,Death at First Glance*,Polymer Grip*,Crucible Tracker,For Wei*,Eriana's Vow Catalyst*,,,,,,,
Blast Furnace,3843477312,"""6917529127410181535""",,Legendary,Pulse Rifle,blackarmory,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,2,5,,65,42,35,98,22,0,0,64,450,36,39,34,0,0,0,0,0,0,0,0,0,10,false,0,59,,,,Aggressive Burst*,Meyrin RDL*,Satou Focus Lens,Accurized Rounds*,Extended Mag,Outlaw*,Kill Clip*,Crucible Tracker,Masterworked: Handling*,Satou Tribe*,,,,,
Skyburner's Oath,4255268456,"""6917529127416113881""",,Exotic,Scout Rifle,,Energy,Solar,1810,,Reload Speed,10,Vault,false,false,1,1,,100,90,67,80,21,0,0,50,150,50,20,65,0,0,0,0,0,0,0,0,0,45,false,0,3014,,,,Slug Rifle*,Extended Barrel*,Extended Mag*,For the Empire*,Short-Action Stock*,Kill Tracker,Skyburner Catalyst*,Beware the Red Legion*,,,,,,,
Rat King,2362471601,"""6917529130933201619""",,Exotic,Sidearm,,KineticSlot,Kinetic,1800,,"Aim Assistance, Recoil Direction",10,Hunter(1772),false,false,1,1,,100,80,49,37,12,0,0,57,300,50,15,45,0,0,0,0,0,0,0,0,0,31,false,0,1010,,,,Rat Pack*,Smallbore*,Tactical Mag*,Vermin*,Smooth Grip*,Kill Tracker,Rat King Catalyst*,Climate Change*,,,,,,,
Leviathan's Breath,2591746970,"""6917529135977474287""",,Exotic,Combat Bow,,Power,Void,1600,,Inventory Size,10,Hunter(1772),false,true,3,8,,75,66,60,0,20,0,0,5,0,0,0,0,0,1328,84,0,0,0,0,0,0,17,false,0,203,,,,Big-Game Hunter*,Chain Bowstring*,Fiberglass Arrow Shaft*,Leviathan's Sigh*,Kill Tracker,Leviathan's Breath Catalyst*,,,,,,,,,
Telesto,2208405142,"""6917529136757336493""",,Exotic,Fusion Rifle,,Energy,Void,1600,,"Magazine, Inventory Size",10,Vault,true,false,1,2,,66,46,85,35,20,0,0,79,0,80,7,62,820,0,0,0,0,0,0,0,0,9,false,0,455,,,,Unplanned Reprieve*,Projection Fuse*,Harbinger's Pulse*,Polymer Grip*,Kill Tracker,Telesto Catalyst*,Reef in Ruins*,,,,,,,,
Randy's Throwing Knife,3535742959,"""6917529137144403571""",,Legendary,Scout Rifle,crucible,KineticSlot,Kinetic,1600,1060,Range,10,Vault,true,false,3,8,,59,63,45,33,20,0,0,44,260,8,20,35,0,0,0,0,0,0,0,0,0,20,false,0,167,,,,Rapid-Fire Frame*,Fluted Barrel*,Extended Mag*,Rapid Hit*,Snapshot Sights,Zen Moment,Kill Clip*,Kill Tracker,Masterworked: Range*,,,,,,
Perfect Paradox,3393519051,"""6917529138299341559""",,Legendary,Shotgun,sundial,KineticSlot,Kinetic,1600,1260,,,Vault,true,false,3,9,,61,70,65,52,12,0,0,36,140,64,7,28,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Rapid-Fire Frame*,Rifled Barrel*,Full Choke,Appended Mag,Accurized Rounds*,Slideshot*,Rampage*,Kill Tracker,,,,,,,
Revoker,654608616,"""6917529140222554022""",,Legendary,Sniper Rifle,crucible,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,2,7,,82,44,90,98,35,0,0,27,72,30,3,23,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Aggressive Frame*,Extended Barrel*,Accurized Rounds*,Snapshot Sights*,Reversal of Fortune*,Crucible Tracker,Masterworked: Handling*,King in All Directions*,,,,,,,
Hush,1584643826,"""6917529140279602667""",,Legendary,Combat Bow,gambit,Energy,Solar,1600,1060,Accuracy,10,Vault,true,false,2,7,,78,64,76,0,18,0,0,45,0,40,0,54,0,684,95,0,0,0,0,0,0,10,false,0,492,,,,Precision Frame*,Natural String*,Straight Fletching*,Opening Shot*,Archer's Gambit*,Kill Tracker,Masterworked: Target Acquisition*,,,,,,,,
Python,838556752,"""6917529140285241457""",,Legendary,Shotgun,gambit,Energy,Void,1600,1260,Reload Speed,10,Vault,true,false,3,9,,60,37,80,32,12,0,0,31,55,26,5,27,0,0,0,0,0,0,0,0,0,12,false,0,128,,,,Aggressive Frame*,Smallbore*,Extended Mag*,Overflow*,Feeding Frenzy,Shield Disorient,One-Two Punch*,Kill Tracker,Masterworked: Reload Speed*,,,,,,
Komodo-4FR,2697058914,"""6917529140737907746""",,Legendary,Linear Fusion Rifle,crucible,Power,Solar,1600,1260,"Charge Time, Impact",10,Vault,false,false,3,9,,80,62,35,37,25,0,0,53,0,25,5,24,500,0,0,0,0,0,0,0,0,6,false,0,146,veist,,,Precision Frame*,Polygonal Rifling*,Accelerated Coils*,No Distractions*,Moving Target,Eye of the Storm,Box Breathing*,Kill Tracker,Masterworked: Charge Time*,,,,,,
Wish-Ender,814876684,"""6917529143418789074""",,Exotic,Combat Bow,dungeon,KineticSlot,Kinetic,1600,,,,Vault,true,false,2,4,,60,51,92,0,18,0,0,85,0,30,0,40,0,820,85,0,0,0,0,0,0,19,false,0,36,,,,Queen's Wrath*,High Tension String*,Anti-Taken Fletching*,Broadhead*,Kill Tracker,,,,,,,,,,
Truth,1201830623,"""6917529144595957630""",,Exotic,Rocket Launcher,,Power,Void,1600,,,,Vault,false,false,2,7,,60,73,0,0,20,100,47,67,15,49,1,65,0,0,0,0,0,0,0,0,0,9,false,0,0,,,,Prototype Trueseeker*,Volatile Launch*,High-Velocity Rounds*,Grenades and Horseshoes*,Composite Stock*,Kill Tracker,,,,,,,,,
Devil's Ruin,3824106094,"""6917529148627988992""",,Exotic,Sidearm,,Energy,Solar,1800,,,,Vault,false,false,3,9,,100,56,49,60,12,0,0,65,300,15,15,39,1000,0,0,0,0,0,0,0,0,23,false,0,105,,,,Close the Gap*,Extended Barrel*,Projection Fuse*,Pyrogenesis*,Combat Grip*,Kill Tracker,,,,,,,,,
Spare Rations,3116356268,"""6917529149665685130""",,Legendary,Hand Cannon,gambitprime,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,2,6,,100,83,84,48,14,0,0,54,140,56,13,81,0,0,0,0,0,0,0,0,0,10,false,0,80,,,,Adaptive Frame*,Chambered Compensator,Smallbore*,Extended Mag,High-Caliber Rounds*,Rapid Hit*,Kill Clip*,Crucible Tracker,Masterworked: Handling*,,,,,,
Cold Front,1506719573,"""6917529150214220849""",,Legendary,Submachine Gun,events,KineticSlot,Kinetic,1600,1260,Handling,10,Vault,true,false,3,9,The Dawning,100,29,22,45,14,0,0,22,720,19,27,53,0,0,0,0,0,0,0,0,0,22,false,0,31,hakke,,,Aggressive Frame*,Arrowhead Brake,Extended Barrel*,Steady Rounds*,Alloy Magazine,Feeding Frenzy*,Kill Clip*,Kill Tracker,Masterworked: Handling*,,,,,,
MIDA Multi-Tool,1331482397,"""6917529151070349448""",,Exotic,Scout Rifle,,KineticSlot,Kinetic,1600,,,10,Vault,false,false,1,1,,80,100,60,45,20,0,0,45,200,80,16,85,0,0,0,0,0,0,0,0,0,25,false,0,0,,,,MIDA Multi-Tool*,Corkscrew Rifling*,High-Caliber Rounds*,MIDA Radar*,Hand-Laid Stock*,Kill Tracker,MIDA Tactical*,,,,,,,,
Bastion,2415517654,"""6917529151896174194""",,Exotic,Fusion Rifle,,KineticSlot,Kinetic,1600,,,,Vault,false,false,3,9,,75,65,85,35,15,0,0,52,0,24,5,32,780,0,0,0,0,0,0,0,0,3,false,0,1,,,,Saint's Fists*,Hammer-Forged Rifling*,Liquid Coils*,Breakthrough*,Composite Stock*,Kill Tracker,,,,,,,,,
Whisper of the Worm,1891561814,"""6917529153267843309""",,Exotic,Sniper Rifle,,Power,Solar,1600,,Reload Speed,10,Vault,false,false,1,3,,94,39,100,85,40,0,0,35,72,66,3,23,0,0,0,0,0,0,0,0,0,80,false,0,1,,,,White Nail*,Polygonal Rifling*,Accurized Rounds*,Mulligan*,Fitted Stock*,Kill Tracker,Whisper Catalyst*,,,,,,,,
Tommy's Matchbook,776191470,"""6917529164416510009""",,Exotic,Auto Rifle,,Energy,Solar,1800,,,10,Titan(1821),false,false,3,10,,64,81,18,53,16,0,0,54,720,0,72,58,0,0,0,0,0,0,0,0,0,36,false,0,196,,,,Ignition Trigger*,Hammer-Forged Rifling*,Extended Mag*,Heat Sink*,Hand-Laid Stock*,Kill Tracker,The Chopper*,Tommy's Matchbook Catalyst*,,,,,,,
Symmetry,4017959782,"""6917529164855614790""",,Exotic,Scout Rifle,,Energy,Arc,1600,,,10,Vault,false,false,3,9,,85,75,45,30,20,0,0,64,260,15,20,36,0,0,0,0,0,0,0,0,0,23,false,0,97,,,,Revolution*,Hammer-Forged Rifling*,Particle Repeater*,Dynamic Charge*,Composite Stock*,Kill Tracker,Binary System*,Symmetry Catalyst*,,,,,,,
Trophy Hunter,4166221755,"""6917529164855616027""",,Legendary,Sniper Rifle,seasonpass,Energy,Void,1600,1260,Stability,1,Vault,true,false,3,9,,100,46,90,88,50,0,0,23,72,34,3,33,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Aggressive Frame*,Arrowhead Brake*,Accurized Rounds*,Genesis*,Dragonfly*,Kill Tracker,Tier 1: Stability*,Zaroff's Prized Longbore*,,,,,,,
Luna's Howl,153979396,"""6917529165889046556""",,Legendary,Hand Cannon,crucible,Energy,Solar,1600,1060,Stability,10,Vault,false,false,2,4,,95,79,84,41,14,0,0,77,140,84,10,35,0,0,0,0,0,0,0,0,0,10,false,0,199,fotc,,,Precision Frame*,Polygonal Rifling*,Drop Mag*,Zen Moment*,Magnificent Howl*,Crucible Tracker,Masterworked: Stability*,,,,,,,,
Hard Light,4124984448,"""6917529166689945857""",,Exotic,Auto Rifle,,Energy,Void,1600,,Stability,10,Vault,false,false,1,1,,100,100,21,40,16,0,0,100,600,64,49,77,0,0,0,0,0,0,0,0,0,31,false,0,887,omolon,,,Volatile Light*,Polygonal Rifling*,Alloy Magazine*,The Fundamentals*,Composite Stock*,Kill Tracker,Hard Light Catalyst*,Lethal System*,,,,,,,
The Fourth Horseman,1665952087,"""6917529167290808518""",,Exotic,Shotgun,,Energy,Arc,1800,,"Magazine, Reload Speed",10,Vault,false,false,3,10,,100,39,80,22,12,0,0,44,360,76,5,33,0,0,0,0,0,0,0,0,0,6,false,0,356,,,,Thunderer*,Arrowhead Brake*,Assault Mag*,Broadside*,Fitted Stock*,Kill Tracker,Pale Rider*,The Fourth Horseman Catalyst*,,,,,,,
Zealot's Reward,2209003210,"""6917529168946899291""",,Legendary,Fusion Rifle,gardenofsalvation,Energy,Void,1600,,Stability,5,Vault,true,false,3,11,,79,37,55,22,15,0,0,33,0,48,8,66,500,0,0,0,0,0,0,0,0,4,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Polygonal Rifling,Enhanced Battery*,Ionized Battery,Feeding Frenzy*,Backup Plan*,Kill Tracker,Tier 5: Stability*,,,,,,
Reckless Oracle,3385326721,"""6917529168952474502""",,Legendary,Auto Rifle,gardenofsalvation,Energy,Void,1600,,Range,10,Vault,false,false,3,11,,59,75,18,51,16,0,0,56,720,55,60,42,0,0,0,0,0,0,0,0,0,10,false,0,470,,,,Rapid-Fire Frame*,Fluted Barrel,Hammer-Forged Rifling*,Armor-Piercing Rounds*,High-Caliber Rounds,Mulligan*,Triple Tap*,Kill Tracker,Backup Mag*,Masterworked: Range*,,,,,
Xenophage,1395261499,"""6917529174225012216""",,Exotic,Machine Gun,,Power,Solar,1600,,,,Vault,false,false,3,8,,85,33,100,88,16,0,0,27,120,31,20,30,0,0,0,0,0,0,0,0,0,12,false,0,14,,,,Pyrotoxin Rounds*,Full Bore*,High-Caliber Rounds*,Rangefinder*,Composite Stock*,Kill Tracker,,,,,,,,,
Sins of the Past,3691881271,"""6917529176392630680""",,Legendary,Rocket Launcher,dcv,Power,Arc,1600,1060,Reload Speed,10,Vault,false,false,1,1,,57,74,0,0,20,100,34,74,15,46,1,67,0,0,0,0,0,0,0,0,0,3,false,0,13,,,,High-Impact Frame*,Confined Launch*,Linear Compensator,Smart Drift Control,Cluster Bomb*,Ambitious Assassin,Auto-Loading Holster*,Arc Damage Mod*,Masterwork Weapon*,,,,,,
Nation of Beasts,654370424,"""6917529176423499394""",,Legendary,Hand Cannon,lastwish,Energy,Arc,1600,,Range,10,Hunter(1772),false,false,3,11,,95,71,84,70,14,0,0,47,140,55,11,37,0,0,0,0,0,0,0,0,0,10,false,0,144,,,,Adaptive Frame*,Full Bore*,Light Mag*,Outlaw*,Dragonfly*,Kill Tracker,Masterworked: Range*,Dreaming Spectrum*,,,,,,,
SUROS Regime,2856683562,"""6917529177088660573""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1600,,Recoil Direction,10,Vault,true,false,1,3,,100,68,21,55,16,0,0,58,600,73,27,64,0,0,0,0,0,0,0,0,0,31,false,0,455,suros,,,SUROS Legacy*,Hammer-Forged Rifling*,Tactical Mag*,Spinning Up*,Dual Speed Receiver,Hand-Laid Stock*,Kill Tracker,SUROS Regime Catalyst*,Coup de Main*,,,,,,
Graviton Lance,3628991658,"""6917529177733335016""",,Exotic,Pulse Rifle,,Energy,Void,1800,,Range,10,Vault,false,false,1,1,,85,60,29,90,17,0,0,100,300,57,31,49,0,0,0,0,0,0,0,0,0,27,false,0,2991,,,,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Kill Tracker,Graviton Lance Catalyst*,,,,,,,,
Interference VI,2257180473,"""6917529177949300100""",,Legendary,Grenade Launcher,legendaryengram,Power,Arc,1600,,Blast Radius,10,Vault,true,false,3,10,,96,61,0,0,13,60,29,58,120,40,6,50,0,0,0,0,0,0,0,0,0,6,false,0,38,hakke,,,Adaptive Frame*,Countermass*,Linear Compensator,Spike Grenades*,High-Velocity Rounds,Clown Cartridge*,Full Court*,Kill Tracker,Major Spec*,Masterworked: Blast Radius*,,,,,
One Thousand Voices,2069224589,"""6917529178672788464""",,Exotic,Fusion Rifle,lastwish,Power,Solar,1600,,,,Vault,false,false,2,4,,100,100,100,100,25,0,0,50,0,30,4,0,1000,0,0,0,0,0,0,0,0,6,false,0,0,,,,Ahamkara's Eye*,Extended Barrel*,Liquid Coils*,Unforeseen Repercussions*,Fitted Stock*,Kill Tracker,,,,,,,,,
Point of the Stag,3434944005,"""6917529179728823920""",,Legendary,Combat Bow,ironbanner,Energy,Arc,1600,,Accuracy,10,Vault,false,false,3,10,,77,72,76,0,18,0,0,55,0,40,0,61,0,612,63,0,0,0,0,0,0,10,false,0,0,,,,Precision Frame*,Elastic String*,Natural Fletching*,No Distractions*,Archer's Tempo,Vorpal Weapon*,Eye of the Storm,Kill Tracker,Masterworked: Target Acquisition*,Iron Precious*,,,,,
Hammerhead,603242241,"""6917529185813436392""",,Legendary,Machine Gun,blackarmory,Power,Void,1600,1060,Handling,3,Vault,true,false,2,5,,85,90,41,60,15,0,0,70,450,46,73,48,0,0,0,0,0,0,0,0,0,16,false,0,0,,,,Adaptive Frame*,Chambered Compensator*,Polygonal Rifling,Extended Mag*,Armor-Piercing Rounds,Dynamic Sway Reduction*,Rampage*,Kill Tracker,Tier 3: Handling*,New Age Black Armory*,,,,,
Heir Apparent,2084878005,"""6917529186309835463""",,Exotic,Machine Gun,events,Power,Solar,1800,,,10,Vault,true,false,3,10,Guardian Games,95,90,39,65,0,0,0,58,900,50,129,63,0,0,0,0,0,0,0,0,0,9,false,0,782,,,,Heavy Slug Thrower*,Corkscrew Rifling*,Appended Mag*,Armor of the Colossus*,Combat Grip*,Kill Tracker,Regal Deterrent*,Heir Apparent Catalyst*,,,,,,,
Seventh Seraph VY-7,766323545,"""6917529192559390052""",,Legendary,Submachine Gun,seasonpass,Energy,Arc,1600,,Reload Speed,10,Vault,false,false,3,10,,91,62,25,59,14,0,0,47,600,29,29,25,0,0,0,0,0,0,0,0,0,12,false,0,3125,,,,Precision Frame*,Chambered Compensator,Corkscrew Rifling*,Appended Mag*,Steady Rounds,Ambitious Assassin*,Feeding Frenzy*,Kill Tracker,Targeting Adjuster*,Masterworked: Reload Speed*,Tyrant's Lash*,,,,
Felwinter's Lie,1179141605,"""6917529193317677864""",,Legendary,Shotgun,rasputin,Energy,Solar,1600,,Range,10,Vault,true,false,3,10,,62,33,80,41,12,0,0,19,55,34,4,26,0,0,0,0,0,0,0,0,0,2,false,0,842,,,,Shot Package*,Full Choke*,Accurized Rounds*,Slideshot*,Surplus,Opening Shot*,Vorpal Weapon,Crucible Tracker,Masterworked: Range*,Midnight Talons*,,,,,
Bad Omens,991314988,"""6917529199053839430""",,Legendary,Rocket Launcher,gambit,Power,Void,1600,,Blast Radius,10,Titan(1821),true,false,3,11,,76,34,0,0,20,45,67,37,25,61,1,15,0,0,0,0,0,0,0,0,0,3,false,0,8,,,,Aggressive Frame*,Volatile Launch*,Impact Casing*,Tracking Module*,Cluster Bomb*,Crucible Tracker,Sprint Grip*,Masterworked: Blast Radius*,Gambit Chrome*,Foretelling*,,,,,
Traveler's Chosen,1853180924,"""6917529205446301733""",,Exotic,Sidearm,,KineticSlot,Kinetic,1600,,Magazine,10,Vault,true,false,3,11,,85,85,49,85,12,0,0,70,300,40,18,84,0,0,0,0,0,0,0,0,0,35,false,0,933,,,,Gathering Light*,QuickDot SAS*,Armor-Piercing Rounds*,Gift of the Traveler*,Short-Action Stock*,Kill Tracker,Conscripted*,Traveler's Chosen Catalyst*,,,,,,,
Ruinous Effigy,1363238943,"""6917529207561241666""",,Exotic,Trace Rifle,,Energy,Void,1600,,,10,Vault,false,false,3,11,,96,84,8,45,12,0,0,78,1000,33,94,53,0,0,0,0,0,0,0,0,0,16,false,0,0,,,,Transmutation*,Hammer-Forged Rifling*,Particle Repeater*,Evolution*,Composite Stock*,Kill Tracker,Ruinous Effigy Catalyst*,,,,,,,,
No Time to Explain,1594120904,"""6917529207825371510""",,Exotic,Pulse Rifle,deluxe,KineticSlot,Kinetic,1600,,,10,Hunter(1772),true,false,4,12,,73,40,33,70,17,0,0,60,340,60,24,57,0,0,0,0,0,0,0,0,0,24,false,0,6,,,,Rewind Again*,Fluted Barrel*,Accurized Rounds*,Time-Slip*,Feeding Frenzy*,Crucible Tracker,Frozen In Time*,No Time to Explain Catalyst*,,,,,,,
Salvation's Grip,370712896,"""6917529208002708196""",,Exotic,Grenade Launcher,europa,Power,Stasis,1600,,,,Vault,false,false,4,12,,63,68,0,0,13,55,37,36,120,55,8,57,0,0,0,0,0,0,0,0,0,19,false,0,0,,,,Cryocannon*,Linear Compensator*,Alloy Casing*,Shatter Shot*,Polymer Grip*,Kill Tracker,,,,,,,,,
Friction Fire,1513993763,"""6917529210303162434""",,Legendary,Submachine Gun,wrathborn,KineticSlot,Kinetic,1600,,Stability,1,Vault,true,false,4,12,,85,57,25,58,15,0,0,50,600,28,27,21,0,0,0,0,0,0,0,0,0,12,false,0,0,,,,Precision Frame*,Corkscrew Rifling,Smallbore*,Appended Mag,Tactical Mag*,Threat Detector*,Rampage*,Kill Tracker,Targeting Adjuster*,Tier 1: Stability*,,,,,
Duality,3460576091,"""6917529210942031430""",,Exotic,Shotgun,,Energy,Solar,1600,,"Magazine, Range",10,Vault,true,false,4,12,,78,65,80,95,12,0,0,50,65,1,8,80,0,0,0,0,0,0,0,0,0,6,false,0,45,,,,Compression Chamber*,Corkscrew Rifling*,Alloy Magazine*,On Black Wings*,Short-Action Stock*,Crucible Tracker,Antiquity*,Duality Catalyst*,,,,,,,
Heritage,4248569242,"""6917529211123966027""",,Legendary,Shotgun,deepstonecrypt,KineticSlot,Kinetic,1600,,Reload Speed,10,Vault,false,false,4,12,,60,68,70,78,12,0,0,48,65,65,8,70,0,0,0,0,0,0,0,0,0,5,false,0,664,,,,Pinpoint Slug Frame*,Corkscrew Rifling,Hammer-Forged Rifling*,Tactical Mag*,Extended Mag,Reconstruction*,Thresh*,Kill Tracker,Backup Mag*,Masterworked: Reload Speed*,Honors of the Nine*,,,,
The Lament,3487253372,"""6917529211233941582""",,Exotic,Sword,europa,Power,Solar,1600,,,,Titan(1821),false,false,4,12,,0,0,78,0,0,0,0,0,0,0,58,0,0,0,0,20,50,0,90,40,0,0,false,0,527,,,,Banshee's Wail*,Jagged Edge*,Enduring Guard*,Tireless Blade*,Revved Consumption*,Kill Tracker,,,,,,,,,
"First In, Last Out",3616586446,"""6917529211606568263""",,Legendary,Shotgun,contact,Energy,Arc,1600,,Stability,10,Vault,false,false,3,11,,58,27,70,78,12,0,0,50,65,45,7,60,0,0,0,0,0,0,0,0,0,2,false,0,98,suros,,,Pinpoint Slug Frame*,Corkscrew Rifling,Hammer-Forged Rifling*,Tactical Mag,Accurized Rounds*,Outlaw*,Opening Shot*,Kill Tracker,Backup Mag*,Masterworked: Stability*,Gilded Smoke*,,,,
Commemoration,4230965989,"""6917529216102359295""",,Legendary,Machine Gun,deepstonecrypt,Power,Void,1600,,Stability,10,Vault,true,false,4,12,,80,64,41,73,16,0,0,55,450,37,75,52,0,0,0,0,0,0,0,0,0,28,false,0,572,,,,Adaptive Frame*,Fluted Barrel,Full Bore*,Accurized Rounds,Extended Mag*,Reconstruction*,Rampage*,Kill Tracker,Backup Mag*,Masterworked: Stability*,Honors of the Nine*,,,,
Trustee,1392919471,"""6917529247153285071""",,Legendary,Scout Rifle,deepstonecrypt,Energy,Solar,1600,,Handling,10,Vault,false,false,4,12,,59,67,45,45,19,0,0,48,260,41,20,40,0,0,0,0,0,0,0,0,0,22,false,0,854,,,,Rapid-Fire Frame*,Arrowhead Brake,Hammer-Forged Rifling*,Tactical Mag*,Alloy Magazine,Reconstruction*,High-Impact Reserves*,Kill Tracker,Backup Mag*,Masterworked: Handling*,,,,,
Eyes of Tomorrow,2399110176,"""6917529249826807510""",,Exotic,Rocket Launcher,deepstonecrypt,Power,Solar,1600,,,,Vault,false,false,4,12,,100,68,0,0,20,50,57,82,20,76,1,49,0,0,0,0,0,0,0,0,0,7,false,0,0,,,,Eyes on All*,Smart Drift Control*,Alloy Casing*,Adaptive Ordnance*,Fitted Stock*,Kill Tracker,,,,,,,,,
Hawkmoon,3856705927,"""6917529256660477508""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1810,,Magazine,10,Vault,true,false,4,12,,100,93,84,52,14,0,0,68,140,59,9,81,0,0,0,0,0,0,0,0,0,26,false,0,343,,,,Paracausal Shot*,Chambered Compensator*,Alloy Magazine*,Opening Shot*,Textured Grip*,Kill Tracker,On Ashen Wings*,Hawkmoon Catalyst*,,,,,,,
Whispering Slab,211938782,"""6917529257169191260""",,Legendary,Combat Bow,contact,KineticSlot,Kinetic,1600,,"Draw Time, Charge Time",1,Vault,true,false,3,11,,55,75,68,0,18,0,0,58,0,60,0,75,0,536,22,0,0,0,0,0,0,10,false,0,0,,,,Lightweight Frame*,Tactile String,Flexible String*,Carbon Arrow Shaft,Helical Fletching*,Killing Wind*,Unrelenting*,Kill Tracker,Tier 1: Draw Time*,,,,,,
Cloudstrike,2603483885,"""6917529257174095490""",,Exotic,Sniper Rifle,europa,Energy,Arc,1800,,Handling,10,Vault,false,false,4,12,,68,68,55,60,50,0,0,64,140,40,7,86,0,0,0,0,0,0,0,0,0,7,false,0,455,,,,Mortal Polarity*,Fluted Barrel*,Alloy Magazine*,Stormbringer*,Hand-Laid Stock*,Kill Tracker,The Old Ways*,Cloudstrike Catalyst*,,,,,,,
Falling Guillotine,614426548,"""6917529260714017199""",,Legendary,Sword,seasonpass,Power,Void,1600,,Impact,10,Vault,false,false,3,11,,0,0,68,0,0,0,0,0,0,0,55,0,0,0,0,30,10,0,40,40,0,0,false,0,1898,,,,Vortex Frame*,Hungry Edge,Jagged Edge*,Tempered Edge,Enduring Guard,Swordmaster's Guard*,Relentless Strikes*,Whirlwind Blade*,Kill Tracker,Major Spec*,Masterworked: Impact*,,,,
